Variable,Value
Total Speeches,1707.0
Mean Char Count,2279.3145869947275
Median Char Count,1806.0
Min Char Count,66.0
Max Char Count,14418.0
SD Char Count,2054.432313357659
Min Year,1996.0
Max Year,2023.0
