Variable,Value
Total Speeches,271.0
Mean Char Count,3324.4833948339483
Median Char Count,2904.0
Min Char Count,143.0
Max Char Count,16004.0
SD Char Count,2301.465360635421
Min Year,1996.0
Max Year,2023.0
