Variable,Value
Total Speeches,5.0
Mean Char Count,1229.2
Median Char Count,1040.0
Min Char Count,329.0
Max Char Count,2528.0
SD Char Count,804.1241819520167
Min Year,2009.0
Max Year,2022.0
