Variable,Value
Total Speeches,614.0
Mean Char Count,3088.470684039088
Median Char Count,2909.5
Min Char Count,607.0
Max Char Count,11455.0
SD Char Count,1533.964331164839
Min Year,1993.0
Max Year,2023.0
