Variable,Value
Total Speeches,640.0
Mean Char Count,2473.190625
Median Char Count,2627.0
Min Char Count,270.0
Max Char Count,11888.0
SD Char Count,1520.3812926464673
Min Year,1995.0
Max Year,2023.0
