Variable,Value
Total Speeches,9.0
Mean Char Count,1128.2222222222222
Median Char Count,1051.0
Min Char Count,837.0
Max Char Count,1894.0
SD Char Count,336.5552620959067
Min Year,2016.0
Max Year,2021.0
