Variable,Value
Total Speeches,112.0
Mean Char Count,1709.2589285714287
Median Char Count,1211.5
Min Char Count,372.0
Max Char Count,7700.0
SD Char Count,1371.0050416551674
Min Year,2002.0
Max Year,2023.0
