Variable,Value
Total Speeches,263.0
Mean Char Count,278.6197718631179
Median Char Count,158.0
Min Char Count,111.0
Max Char Count,4742.0
SD Char Count,566.7296566527278
Min Year,2006.0
Max Year,2022.0
