Variable,Value
Total Speeches,71.0
Mean Char Count,1338.112676056338
Median Char Count,1248.0
Min Char Count,408.0
Max Char Count,5141.0
SD Char Count,724.8107841616473
Min Year,2004.0
Max Year,2022.0
