Variable,Value
Total Speeches,15.0
Mean Char Count,2078.6
Median Char Count,1121.0
Min Char Count,547.0
Max Char Count,6166.0
SD Char Count,1981.1494787478448
Min Year,2014.0
Max Year,2021.0
