Variable,Value
Total Speeches,126.0
Mean Char Count,2404.5
Median Char Count,2366.0
Min Char Count,321.0
Max Char Count,11943.0
SD Char Count,1412.0620028879753
Min Year,1997.0
Max Year,2023.0
