Variable,Value
Total Speeches,7.0
Mean Char Count,3070.1428571428573
Median Char Count,2968.0
Min Char Count,975.0
Max Char Count,6521.0
SD Char Count,1808.330116301725
Min Year,1991.0
Max Year,2017.0
