Variable,Value
Total Speeches,78.0
Mean Char Count,962.8589743589744
Median Char Count,845.5
Min Char Count,156.0
Max Char Count,3953.0
SD Char Count,691.622837017871
Min Year,2003.0
Max Year,2023.0
