Variable,Value
Total Speeches,282.0
Mean Char Count,2644.2163120567375
Median Char Count,2620.5
Min Char Count,428.0
Max Char Count,5845.0
SD Char Count,962.7247915250524
Min Year,1997.0
Max Year,2023.0
