Variable,Value
Total Speeches,546.0
Mean Char Count,2141.4249084249086
Median Char Count,1959.5
Min Char Count,142.0
Max Char Count,7826.0
SD Char Count,1078.2885057767974
Min Year,1997.0
Max Year,2023.0
