Variable,Value
Total Speeches,190.0
Mean Char Count,2048.9052631578948
Median Char Count,1745.0
Min Char Count,357.0
Max Char Count,14284.0
SD Char Count,1522.0273348099438
Min Year,1998.0
Max Year,2023.0
