Variable,Value
Total Speeches,94.0
Mean Char Count,1541.6489361702127
Median Char Count,991.5
Min Char Count,188.0
Max Char Count,6221.0
SD Char Count,1458.3628448561492
Min Year,2015.0
Max Year,2023.0
