Variable,Value
Total Speeches,41.0
Mean Char Count,1575.3658536585365
Median Char Count,1333.0
Min Char Count,289.0
Max Char Count,5120.0
SD Char Count,1093.6516300014725
Min Year,1999.0
Max Year,2023.0
