Variable,Value
Total Speeches,35.0
Mean Char Count,902.2857142857143
Median Char Count,837.0
Min Char Count,262.0
Max Char Count,2211.0
SD Char Count,441.97315405753216
Min Year,2002.0
Max Year,2023.0
