Variable,Value
Total Speeches,82.0
Mean Char Count,722.0121951219512
Median Char Count,612.5
Min Char Count,256.0
Max Char Count,1999.0
SD Char Count,346.09334692784046
Min Year,2015.0
Max Year,2023.0
