Variable,Value
Total Speeches,16.0
Mean Char Count,770.1875
Median Char Count,656.5
Min Char Count,203.0
Max Char Count,1854.0
SD Char Count,436.67122930186275
Min Year,2006.0
Max Year,2023.0
