Variable,Value
Total Speeches,54.0
Mean Char Count,1081.7037037037037
Median Char Count,980.0
Min Char Count,211.0
Max Char Count,2307.0
SD Char Count,461.9520774634704
Min Year,2007.0
Max Year,2023.0
