Variable,Value
Total Speeches,6.0
Mean Char Count,1345.0
Median Char Count,1509.5
Min Char Count,633.0
Max Char Count,1639.0
SD Char Count,385.2526443776863
Min Year,2012.0
Max Year,2021.0
