Variable,Value
Total Speeches,16.0
Mean Char Count,1266.6875
Median Char Count,1328.5
Min Char Count,496.0
Max Char Count,2222.0
SD Char Count,495.8504772946511
Min Year,2005.0
Max Year,2017.0
