Variable,Value
Total Speeches,223.0
Mean Char Count,2782.919282511211
Median Char Count,2623.0
Min Char Count,220.0
Max Char Count,10310.0
SD Char Count,1511.6568181295916
Min Year,1999.0
Max Year,2023.0
