Variable,Value
Total Speeches,268.0
Mean Char Count,2377.865671641791
Median Char Count,1982.5
Min Char Count,284.0
Max Char Count,9199.0
SD Char Count,1398.4409445955414
Min Year,2000.0
Max Year,2023.0
