Variable,Value
Total Speeches,630.0
Mean Char Count,1363.468253968254
Median Char Count,1135.5
Min Char Count,96.0
Max Char Count,8693.0
SD Char Count,984.2214138690589
Min Year,1999.0
Max Year,2023.0
