Variable,Value
Total Speeches,196.0
Mean Char Count,1354.265306122449
Median Char Count,1110.0
Min Char Count,332.0
Max Char Count,6231.0
SD Char Count,852.0180875776012
Min Year,2003.0
Max Year,2023.0
