Variable,Value
Total Speeches,101.0
Mean Char Count,2843.039603960396
Median Char Count,2476.0
Min Char Count,496.0
Max Char Count,10193.0
SD Char Count,1451.7498470521157
Min Year,1998.0
Max Year,2023.0
