Variable,Value
Total Speeches,641.0
Mean Char Count,3280.7160686427455
Median Char Count,3269.0
Min Char Count,209.0
Max Char Count,10036.0
SD Char Count,1184.541925126342
Min Year,1990.0
Max Year,2023.0
