Variable,Value
Total Speeches,131.0
Mean Char Count,1434.7786259541986
Median Char Count,1310.0
Min Char Count,242.0
Max Char Count,3761.0
SD Char Count,584.0641599381453
Min Year,1999.0
Max Year,2023.0
