Variable,Value
Total Speeches,475.0
Mean Char Count,2156.5852631578946
Median Char Count,2139.0
Min Char Count,511.0
Max Char Count,6401.0
SD Char Count,781.8334549372779
Min Year,1997.0
Max Year,2023.0
