Variable,Value
Total Speeches,1418.0
Mean Char Count,2755.301833568406
Median Char Count,2577.0
Min Char Count,441.0
Max Char Count,8768.0
SD Char Count,1282.3086154240357
Min Year,1996.0
Max Year,2023.0
