Variable,Value
Total Speeches,10.0
Mean Char Count,1063.3
Median Char Count,752.0
Min Char Count,455.0
Max Char Count,2326.0
SD Char Count,677.2815022819783
Min Year,2014.0
Max Year,2019.0
