Variable,Value
Total Speeches,460.0
Mean Char Count,2117.7478260869566
Median Char Count,1773.0
Min Char Count,204.0
Max Char Count,20517.0
SD Char Count,1658.5059533423303
Min Year,2000.0
Max Year,2023.0
