Variable,Value
Total Speeches,418.0
Mean Char Count,2640.3636363636365
Median Char Count,2787.0
Min Char Count,115.0
Max Char Count,7091.0
SD Char Count,1216.205319114688
Min Year,1994.0
Max Year,2023.0
