Variable,Value
Total Speeches,10.0
Mean Char Count,1088.6
Median Char Count,1092.0
Min Char Count,768.0
Max Char Count,1571.0
SD Char Count,255.32036520592885
Min Year,2011.0
Max Year,2015.0
