Variable,Value
Total Speeches,102.0
Mean Char Count,2392.6960784313724
Median Char Count,2230.0
Min Char Count,497.0
Max Char Count,5981.0
SD Char Count,1139.5034248443458
Min Year,1986.0
Max Year,2023.0
