Variable,Value
Total Speeches,42.0
Mean Char Count,2347.2380952380954
Median Char Count,1406.5
Min Char Count,355.0
Max Char Count,11648.0
SD Char Count,2575.113114347424
Min Year,2012.0
Max Year,2023.0
