Variable,Value
Total Speeches,252.0
Mean Char Count,1706.2738095238096
Median Char Count,1085.0
Min Char Count,119.0
Max Char Count,8894.0
SD Char Count,1448.6667948491734
Min Year,1986.0
Max Year,2023.0
