Variable,Value
Total Speeches,42.0
Mean Char Count,1543.7142857142858
Median Char Count,1557.5
Min Char Count,396.0
Max Char Count,3462.0
SD Char Count,611.7056635468819
Min Year,2019.0
Max Year,2023.0
