Variable,Value
Total Speeches,42.0
Mean Char Count,1358.547619047619
Median Char Count,1143.0
Min Char Count,394.0
Max Char Count,2971.0
SD Char Count,702.3589243775075
Min Year,2006.0
Max Year,2023.0
