Variable,Value
Total Speeches,173.0
Mean Char Count,1705.6936416184972
Median Char Count,1485.0
Min Char Count,320.0
Max Char Count,4581.0
SD Char Count,898.905713175896
Min Year,2004.0
Max Year,2023.0
