Variable,Value
Total Speeches,164.0
Mean Char Count,1638.9878048780488
Median Char Count,1373.0
Min Char Count,311.0
Max Char Count,6556.0
SD Char Count,1099.0670108455147
Min Year,2005.0
Max Year,2023.0
