Variable,Value
Total Speeches,46.0
Mean Char Count,2303.217391304348
Median Char Count,2310.0
Min Char Count,818.0
Max Char Count,4354.0
SD Char Count,872.2388539600194
Min Year,2004.0
Max Year,2023.0
