Variable,Value
Total Speeches,97.0
Mean Char Count,1631.7835051546392
Median Char Count,1434.0
Min Char Count,284.0
Max Char Count,5726.0
SD Char Count,974.5210706932334
Min Year,2013.0
Max Year,2023.0
