Variable,Value
Total Speeches,266.0
Mean Char Count,2726.278195488722
Median Char Count,2723.0
Min Char Count,119.0
Max Char Count,6166.0
SD Char Count,1092.5851038283813
Min Year,1993.0
Max Year,2023.0
