Variable,Value
Total Speeches,134.0
Mean Char Count,1998.544776119403
Median Char Count,1856.5
Min Char Count,327.0
Max Char Count,4854.0
SD Char Count,1068.7343411554561
Min Year,2007.0
Max Year,2023.0
