Variable,Value
Total Speeches,68.0
Mean Char Count,2155.3529411764707
Median Char Count,1949.5
Min Char Count,355.0
Max Char Count,6316.0
SD Char Count,1275.7334064449274
Min Year,2000.0
Max Year,2023.0
