Variable,Value
Total Speeches,164.0
Mean Char Count,3973.512195121951
Median Char Count,2892.5
Min Char Count,611.0
Max Char Count,12377.0
SD Char Count,2560.159802546375
Min Year,2007.0
Max Year,2023.0
