Variable,Value
Total Speeches,88.0
Mean Char Count,1703.6363636363637
Median Char Count,1506.5
Min Char Count,595.0
Max Char Count,6167.0
SD Char Count,1015.4098111794559
Min Year,1999.0
Max Year,2023.0
