Variable,Value
Total Speeches,25.0
Mean Char Count,2330.68
Median Char Count,1382.0
Min Char Count,580.0
Max Char Count,5990.0
SD Char Count,1728.445947472276
Min Year,2002.0
Max Year,2021.0
