Variable,Value
Total Speeches,1071.0
Mean Char Count,3856.749766573296
Median Char Count,3519.0
Min Char Count,413.0
Max Char Count,17953.0
SD Char Count,2051.517166177048
Min Year,1996.0
Max Year,2023.0
