Variable,Value
Total Speeches,47.0
Mean Char Count,2125.68085106383
Median Char Count,1795.0
Min Char Count,488.0
Max Char Count,6479.0
SD Char Count,1238.5559457337015
Min Year,1998.0
Max Year,2023.0
