Variable,Value
Total Speeches,48.0
Mean Char Count,1551.6458333333333
Median Char Count,1194.0
Min Char Count,378.0
Max Char Count,5224.0
SD Char Count,1087.5895754663707
Min Year,1999.0
Max Year,2020.0
