Variable,Value
Total Speeches,55.0
Mean Char Count,2788.8
Median Char Count,2719.0
Min Char Count,229.0
Max Char Count,6497.0
SD Char Count,1497.9752927794827
Min Year,2004.0
Max Year,2023.0
