Variable,Value
Total Speeches,3.0
Mean Char Count,2439.3333333333335
Median Char Count,2420.0
Min Char Count,2240.0
Max Char Count,2658.0
SD Char Count,209.66958132579302
Min Year,2005.0
Max Year,2007.0
