Variable,Value
Total Speeches,191.0
Mean Char Count,2934.937172774869
Median Char Count,1856.0
Min Char Count,596.0
Max Char Count,42936.0
SD Char Count,4424.574417385172
Min Year,1999.0
Max Year,2022.0
