Variable,Value
Total Speeches,1354.0
Mean Char Count,4600.901772525849
Median Char Count,3956.5
Min Char Count,254.0
Max Char Count,26285.0
SD Char Count,2889.587061332938
Min Year,1996.0
Max Year,2023.0
