Variable,Value
Total Speeches,42.0
Mean Char Count,1872.3333333333333
Median Char Count,1074.5
Min Char Count,223.0
Max Char Count,7767.0
SD Char Count,1780.9422508360592
Min Year,2003.0
Max Year,2023.0
