Variable,Value
Total Speeches,20.0
Mean Char Count,1226.1
Median Char Count,1079.5
Min Char Count,358.0
Max Char Count,2513.0
SD Char Count,558.7276805856603
Min Year,2007.0
Max Year,2019.0
