Variable,Value
Total Speeches,728.0
Mean Char Count,2901.8502747252746
Median Char Count,2785.0
Min Char Count,431.0
Max Char Count,14839.0
SD Char Count,1421.2033341604606
Min Year,1997.0
Max Year,2023.0
