Variable,Value
Total Speeches,78.0
Mean Char Count,1546.0
Median Char Count,1195.5
Min Char Count,349.0
Max Char Count,5440.0
SD Char Count,1105.593382429873
Min Year,2006.0
Max Year,2021.0
