Variable,Value
Total Speeches,82.0
Mean Char Count,3127.8536585365855
Median Char Count,2928.5
Min Char Count,869.0
Max Char Count,8680.0
SD Char Count,1518.3698058143386
Min Year,1999.0
Max Year,2015.0
